judul,kategori,tanggal_upload,waktu_upload,link_berita
"Sinopsis The Gods Be Funny in China, Lomba Lari dan Selamatkan Panda Langka",HYPE,29/01/2022, 21:28 WIB,https://www.kompas.com/hype/read/2022/01/29/212850666/sinopsis-the-gods-be-funny-in-china-lomba-lari-dan-selamatkan-panda-langka
"Swab PCR di Batam, Warga Pekanbaru Positif Covid-19 Varian Omicron",REGIONAL,29/01/2022, 21:28 WIB,https://regional.kompas.com/read/2022/01/29/212818478/swab-pcr-di-batam-warga-pekanbaru-positif-covid-19-varian-omicron
"8,5 Ton Pala Maluku Diekspor ke Eropa Lewat Pelabuhan Ambon",REGIONAL,29/01/2022, 21:23 WIB,https://regional.kompas.com/read/2022/01/29/212334078/85-ton-pala-maluku-diekspor-ke-eropa-lewat-pelabuhan-ambon
"Sinopsis Film Hostiles, Usaha Kapten Joseph Blocker Kawal Kepala Suku Indian Cheyenne",HYPE,29/01/2022, 21:20 WIB,https://www.kompas.com/hype/read/2022/01/29/212034666/sinopsis-film-hostiles-usaha-kapten-joseph-blocker-kawal-kepala-suku-indian
Sitthichai dan Allazov Lolos ke Final ONE Featherweight Kickboxing World Grand Prix,BOLA,29/01/2022, 21:20 WIB,https://www.kompas.com/sports/read/2022/01/29/21200058/sitthichai-dan-allazov-lolos-ke-final-one-featherweight-kickboxing-world
"Lowongan Kerja Anak Usaha BUMN Waskita untuk Lulusan S1, Cek Syaratnya di Sini",WIKEN,29/01/2022, 21:20 WIB,https://www.kompas.com/wiken/read/2022/01/29/212000981/lowongan-kerja-anak-usaha-bumn-waskita-untuk-lulusan-s1-cek-syaratnya-di
"Waspada, Bahan Kimia Dalam Produk Plastik Berpotensi Picu Obesitas",WIKEN,29/01/2022, 21:19 WIB,https://www.kompas.com/wiken/read/2022/01/29/211953281/waspada-bahan-kimia-dalam-produk-plastik-berpotensi-picu-obesitas
Bagaimana Cara Bayar PBB Online di Shopee dan Bukalapak?,MONEY,29/01/2022, 21:12 WIB,https://money.kompas.com/read/2022/01/29/211200926/bagaimana-cara-bayar-pbb-online-di-shopee-dan-bukalapak-
"AHY Minta Kader Demokrat Hindari Politik Identitas, Harganya Terlalu Mahal",NEWS,29/01/2022, 21:11 WIB,https://nasional.kompas.com/read/2022/01/29/21111061/ahy-minta-kader-demokrat-hindari-politik-identitas-harganya-terlalu-mahal
"Penambang Tewas Ditembak Oknum Brimob di Pulau Buru, Warga Marah Bakar Rumah dan Mobil",REGIONAL,29/01/2022, 21:10 WIB,https://regional.kompas.com/read/2022/01/29/211017078/penambang-tewas-ditembak-oknum-brimob-di-pulau-buru-warga-marah-bakar-rumah
"Covid-19 Merebak di Liga 1, Bukti Klub Tak Menjaga Komitmen?",BOLA,29/01/2022, 21:07 WIB,https://bola.kompas.com/read/2022/01/29/21072028/covid-19-merebak-di-liga-1-bukti-klub-tak-menjaga-komitmen
Mahasiswa di Semarang Ini Buka Usaha Seafood yang Bisa Dikirim ke Luar Kota,FOOD,29/01/2022, 21:03 WIB,https://www.kompas.com/food/read/2022/01/29/210300075/mahasiswa-di-semarang-ini-buka-usaha-seafood-yang-bisa-dikirim-ke-luar-kota
Rem Truk Tangki Blong di Jalan Bypass Bandar Lampung Tabrak 3 Mobil dan 1 Sepeda Motor,REGIONAL,29/01/2022, 21:01 WIB,https://regional.kompas.com/read/2022/01/29/210129278/rem-truk-tangki-blong-di-jalan-bypass-bandar-lampung-tabrak-3-mobil-dan-1
"Rute ke Malang Night Paradise, Bisa Naik Transportasi Umum ",TRAVEL,29/01/2022, 21:01 WIB,https://travel.kompas.com/read/2022/01/29/210100427/rute-ke-malang-night-paradise-bisa-naik-transportasi-umum-
Ketum PAN: Menjadi Islam Moderat Bukan Sikap Lemah atau Cari Aman,NEWS,29/01/2022, 21:00 WIB,https://nasional.kompas.com/read/2022/01/29/21005101/ketum-pan-menjadi-islam-moderat-bukan-sikap-lemah-atau-cari-aman
Misteri Rumah Berbentuk Sepatu Bot Raksasa di Tengah Hutan Inggris,GLOBAL,29/01/2022, 21:00 WIB,https://www.kompas.com/global/read/2022/01/29/210000170/misteri-rumah-berbentuk-sepatu-bot-raksasa-di-tengah-hutan-inggris
"Masuk Prioritas Nasional, Tata Ruang Dua Danau di Sumbar Dibenahi ",PROPERTI,29/01/2022, 21:00 WIB,https://www.kompas.com/properti/read/2022/01/29/210000721/masuk-prioritas-nasional-tata-ruang-dua-danau-di-sumbar-dibenahi-
Tidur di Depan Televisi yang Menyala? Kenali Beberapa Risikonya,TREN,29/01/2022, 21:00 WIB,https://www.kompas.com/tren/read/2022/01/29/210000865/tidur-di-depan-televisi-yang-menyala-kenali-beberapa-risikonya
"Ramai Kasus Covid-19 di Liga 1, PT LIB Beri Peringatan ke Klub",BOLA,29/01/2022, 21:00 WIB,https://bola.kompas.com/read/2022/01/29/21000088/ramai-kasus-covid-19-di-liga-1-pt-lib-beri-peringatan-ke-klub
Epididimitis,HEALTH,29/01/2022, 21:00 WIB,https://health.kompas.com/penyakit/read/2022/01/29/210000968/epididimitis
5 Tips Membersihkan Sarung Sofa agar Bersih Seperti Baru ,HOMEY,29/01/2022, 21:00 WIB,https://www.kompas.com/homey/read/2022/01/29/210000376/5-tips-membersihkan-sarung-sofa-agar-bersih-seperti-baru-
"Speedboat Rombongan Wawali Tual Mati Mesin, 20 Penumpang Selamat",REGIONAL,29/01/2022, 20:59 WIB,https://regional.kompas.com/read/2022/01/29/205909278/speedboat-rombongan-wawali-tual-mati-mesin-20-penumpang-selamat
AHY Nilai Wajar jika Kader Demokrat Dorong Dia Jadi Capres 2024,NEWS,29/01/2022, 20:52 WIB,https://nasional.kompas.com/read/2022/01/29/20521941/ahy-nilai-wajar-jika-kader-demokrat-dorong-dia-jadi-capres-2024
Disperindag Aceh Utara Awasi 27 Minimarket agar Jual Minyak Goreng Sesuai HET,REGIONAL,29/01/2022, 20:49 WIB,https://regional.kompas.com/read/2022/01/29/204949578/disperindag-aceh-utara-awasi-27-minimarket-agar-jual-minyak-goreng-sesuai
"Oknum Brimob Mengamuk di Gunung Botak Maluku, Tembak Warga hingga Tewas",REGIONAL,29/01/2022, 20:49 WIB,https://regional.kompas.com/read/2022/01/29/204910478/oknum-brimob-mengamuk-di-gunung-botak-maluku-tembak-warga-hingga-tewas
"Seekor Anak Sapi Lahir dengan Dua Kepala, Empat Mata dan Dua Mulut Jadi Sorotan di India",GLOBAL,29/01/2022, 20:45 WIB,https://www.kompas.com/global/read/2022/01/29/204500770/seekor-anak-sapi-lahir-dengan-dua-kepala-empat-mata-dan-dua-mulut-jadi
Ingin Kuliah di Luar Negeri? Simak 10 Negara dengan Biaya Hidup Murah,WIKEN,29/01/2022, 20:44 WIB,https://www.kompas.com/wiken/read/2022/01/29/204417181/ingin-kuliah-di-luar-negeri-simak-10-negara-dengan-biaya-hidup-murah
Jokowi-Ma'ruf Amin Akan Hadiri Pengukuhan Pengurus PBNU di Kaltim,NEWS,29/01/2022, 20:41 WIB,https://nasional.kompas.com/read/2022/01/29/20414101/jokowi-maruf-amin-akan-hadiri-pengukuhan-pengurus-pbnu-di-kaltim
"Jenazah DJ Indah Cleo Teridentifikasi, Keluarga Ingin Segera Bawa ke Padang",REGIONAL,29/01/2022, 20:41 WIB,https://regional.kompas.com/read/2022/01/29/204137378/jenazah-dj-indah-cleo-teridentifikasi-keluarga-ingin-segera-bawa-ke-padang
Serangan Sekjen PDI-P ke Anies: Bandingkan dengan Ahok Hingga Sebut Mintanya Bawahan yang Kerja,NEWS,29/01/2022, 20:40 WIB,https://nasional.kompas.com/read/2022/01/29/20405571/serangan-sekjen-pdi-p-ke-anies-bandingkan-dengan-ahok-hingga-sebut-mintanya
"Lee Zii Jia Masuk Skuad, Malaysia Tak Pasang Target Juara di BATC 2022",BOLA,29/01/2022, 20:40 WIB,https://www.kompas.com/badminton/read/2022/01/29/20400098/lee-zii-jia-masuk-skuad-malaysia-tak-pasang-target-juara-di-batc-2022
"Resep Ikan Salmon Bakar Bumbu Bali, Olahan Ikan Minim Minyak",FOOD,29/01/2022, 20:36 WIB,https://www.kompas.com/food/read/2022/01/29/203600375/resep-ikan-salmon-bakar-bumbu-bali-olahan-ikan-minim-minyak
"Kisah Mantan Guru Honorer Bakar Sekolah, Marah Honor Rp 6 Juta Selama 24 Tahun Tak Dibayar",WIKEN,29/01/2022, 20:35 WIB,https://www.kompas.com/wiken/read/2022/01/29/203500581/kisah-mantan-guru-honorer-bakar-sekolah-marah-honor-rp-6-juta-selama-24
"Cukup Pakai Digi by Bank BJB, Semua Transaksi Bisa Dilakukan dalam Satu Aplikasi",ADVERTORIAL,29/01/2022, 20:31 WIB,https://biz.kompas.com/read/2022/01/29/203126128/cukup-pakai-digi-by-bank-bjb-semua-transaksi-bisa-dilakukan-dalam-satu-aplikasi
Kemenkes: 55 Kasus Subvarian Omicron BA.2 Terdeteksi di Indonesia,TREN,29/01/2022, 20:30 WIB,https://www.kompas.com/tren/read/2022/01/29/203017065/kemenkes-55-kasus-subvarian-omicron-ba2-terdeteksi-di-indonesia
China Umumkan Kerja Sama dengan Rusia Bangun Pangkalan di Permukaan Bulan Saingi NASA,GLOBAL,29/01/2022, 20:30 WIB,https://www.kompas.com/global/read/2022/01/29/203000970/china-umumkan-kerja-sama-dengan-rusia-bangun-pangkalan-di-permukaan-bulan
"Sinopsis Berangkat, Petualangan Menuju Tempat-tempat Istimewa",HYPE,29/01/2022, 20:28 WIB,https://www.kompas.com/hype/read/2022/01/29/202803966/sinopsis-berangkat-petualangan-menuju-tempat-tempat-istimewa
"Buka Kantor Baru, Simak Rencana Bisnis 3 Anak Usaha VTA Group",MONEY,29/01/2022, 20:27 WIB,https://money.kompas.com/read/2022/01/29/202736226/buka-kantor-baru-simak-rencana-bisnis-3-anak-usaha-vta-group
"Ridwan Kamil: Jika Ada Kesempatan Maju sebagai Capres 2024, Bismillah",NEWS,29/01/2022, 20:27 WIB,https://nasional.kompas.com/read/2022/01/29/20272311/ridwan-kamil-jika-ada-kesempatan-maju-sebagai-capres-2024-bismillah
"Uang Tabungan Fiersa Besari Sebesar Rp 13,2 Juta di Rekening Raib",HYPE,29/01/2022, 20:22 WIB,https://www.kompas.com/hype/read/2022/01/29/202240366/uang-tabungan-fiersa-besari-sebesar-rp-132-juta-di-rekening-raib
